IOR-3.3.0+dev: MPI Coordinated Test of Parallel I/O
Began               : Mon Jun 29 00:08:31 2020
Command line        : /IO500/bin/ior -w -a POSIX -t 2m -v -b 9920000m -F -i 1 -C -Q 1 -g -G 27 -k -e -o /mnt/cephfs/datafiles/2020.06.28-23.19.08-scr/ior_easy/ior_file_easy -O stoneWallingStatusFile=/mnt/cephfs/datafiles/2020.06.28-23.19.08-scr/ior_easy/stonewall -O stoneWallingWearOut=1 -D 300
Machine             : Linux sr650-1
Start time skew across all tasks: 321.22 sec
TestID              : 0
StartTime           : Mon Jun 29 00:08:31 2020
Path                : /mnt/cephfs/datafiles/2020.06.28-23.19.08-scr/ior_easy
FS                  : 30.2 TiB   Used FS: 35.7%   Inodes: 2.7 Mi   Used Inodes: 100.0%
Participating tasks: 200
Using reorderTasks '-C' (useful to avoid read cache in client)

Options: 
api                 : POSIX
apiVersion          : 
test filename       : /mnt/cephfs/datafiles/2020.06.28-23.19.08-scr/ior_easy/ior_file_easy
access              : file-per-process
type                : independent
segments            : 1
ordering in a file  : sequential
ordering inter file : constant task offset
task offset         : 1
nodes               : 10
tasks               : 200
clients per node    : 20
repetitions         : 1
xfersize            : 2 MiB
blocksize           : 9.46 TiB
aggregate filesize  : 1892.09 TiB
stonewallingTime    : 300
stoneWallingWearOut : 1

Results: 

access    bw(MiB/s)  IOPS       Latency(s)  block(KiB) xfer(KiB)  open(s)    wr/rd(s)   close(s)   total(s)   iter
------    ---------  ----       ----------  ---------- ---------  --------   --------   --------   --------   ----
Commencing write performance test: Mon Jun 29 00:08:31 2020
37: stonewalling pairs accessed: 6118
44: stonewalling pairs accessed: 5445
106: stonewalling pairs accessed: 6549
41: stonewalling pairs accessed: 6618
25: stonewalling pairs accessed: 6527
115: stonewalling pairs accessed: 6581
111: stonewalling pairs accessed: 6634
109: stonewalling pairs accessed: 6025
107: stonewalling pairs accessed: 6135
87: stonewalling pairs accessed: 6022
19: stonewalling pairs accessed: 5968
28: stonewalling pairs accessed: 5908
48: stonewalling pairs accessed: 5923
178: stonewalling pairs accessed: 5910
18: stonewalling pairs accessed: 5986
180: stonewalling pairs accessed: 4961
80: stonewalling pairs accessed: 4940
20: stonewalling pairs accessed: 5029
30: stonewalling pairs accessed: 5032
32: stonewalling pairs accessed: 5692
52: stonewalling pairs accessed: 5640
102: stonewalling pairs accessed: 5716
172: stonewalling pairs accessed: 5612
152: stonewalling pairs accessed: 5614
12: stonewalling pairs accessed: 5717
66: stonewalling pairs accessed: 6468
36: stonewalling pairs accessed: 6557
136: stonewalling pairs accessed: 6494
103: stonewalling pairs accessed: 5020
73: stonewalling pairs accessed: 5024
63: stonewalling pairs accessed: 5014
33: stonewalling pairs accessed: 5009
153: stonewalling pairs accessed: 4924
13: stonewalling pairs accessed: 4948
159: stonewalling pairs accessed: 6001
57: stonewalling pairs accessed: 6040
67: stonewalling pairs accessed: 6131
27: stonewalling pairs accessed: 6083
58: stonewalling pairs accessed: 5991
118: stonewalling pairs accessed: 6001
7: stonewalling pairs accessed: 6138
42: stonewalling pairs accessed: 5697
62: stonewalling pairs accessed: 5613
2: stonewalling pairs accessed: 5613
145: stonewalling pairs accessed: 6566
165: stonewalling pairs accessed: 6530
5: stonewalling pairs accessed: 6507
175: stonewalling pairs accessed: 6523
139: stonewalling pairs accessed: 6044
189: stonewalling pairs accessed: 5953
149: stonewalling pairs accessed: 6026
89: stonewalling pairs accessed: 6033
119: stonewalling pairs accessed: 6032
160: stonewalling pairs accessed: 4984
190: stonewalling pairs accessed: 4938
120: stonewalling pairs accessed: 5016
130: stonewalling pairs accessed: 4952
100: stonewalling pairs accessed: 5033
60: stonewalling pairs accessed: 4937
170: stonewalling pairs accessed: 4935
140: stonewalling pairs accessed: 5033
70: stonewalling pairs accessed: 4993
10: stonewalling pairs accessed: 4953
155: stonewalling pairs accessed: 6513
171: stonewalling pairs accessed: 6671
55: stonewalling pairs accessed: 6507
97: stonewalling pairs accessed: 6134
177: stonewalling pairs accessed: 6128
29: stonewalling pairs accessed: 5988
147: stonewalling pairs accessed: 6091
197: stonewalling pairs accessed: 6038
8: stonewalling pairs accessed: 5975
128: stonewalling pairs accessed: 5986
148: stonewalling pairs accessed: 5997
173: stonewalling pairs accessed: 4937
79: stonewalling pairs accessed: 6039
129: stonewalling pairs accessed: 5987
167: stonewalling pairs accessed: 6059
187: stonewalling pairs accessed: 6030
9: stonewalling pairs accessed: 5966
64: stonewalling pairs accessed: 5448
114: stonewalling pairs accessed: 5433
4: stonewalling pairs accessed: 5366
16: stonewalling pairs accessed: 6509
14: stonewalling pairs accessed: 5364
54: stonewalling pairs accessed: 5431
26: stonewalling pairs accessed: 6563
56: stonewalling pairs accessed: 6548
146: stonewalling pairs accessed: 6562
116: stonewalling pairs accessed: 6541
156: stonewalling pairs accessed: 6470
11: stonewalling pairs accessed: 6553
101: stonewalling pairs accessed: 6628
21: stonewalling pairs accessed: 6568
75: stonewalling pairs accessed: 6570
71: stonewalling pairs accessed: 6607
35: stonewalling pairs accessed: 6529
195: stonewalling pairs accessed: 6501
91: stonewalling pairs accessed: 6633
131: stonewalling pairs accessed: 6622
61: stonewalling pairs accessed: 6657
121: stonewalling pairs accessed: 6655
51: stonewalling pairs accessed: 6602
0: stonewalling pairs accessed: 4974
83: stonewalling pairs accessed: 5029
163: stonewalling pairs accessed: 5005
3: stonewalling pairs accessed: 5000
50: stonewalling pairs accessed: 5034
23: stonewalling pairs accessed: 4925
53: stonewalling pairs accessed: 5027
125: stonewalling pairs accessed: 6597
45: stonewalling pairs accessed: 6588
81: stonewalling pairs accessed: 6606
95: stonewalling pairs accessed: 6609
1: stonewalling pairs accessed: 6591
117: stonewalling pairs accessed: 6065
78: stonewalling pairs accessed: 5978
88: stonewalling pairs accessed: 5982
122: stonewalling pairs accessed: 5720
22: stonewalling pairs accessed: 5725
104: stonewalling pairs accessed: 5449
90: stonewalling pairs accessed: 5035
150: stonewalling pairs accessed: 4935
84: stonewalling pairs accessed: 5390
112: stonewalling pairs accessed: 5652
196: stonewalling pairs accessed: 6467
181: stonewalling pairs accessed: 6581
151: stonewalling pairs accessed: 6620
17: stonewalling pairs accessed: 6044
127: stonewalling pairs accessed: 6044
193: stonewalling pairs accessed: 4943
43: stonewalling pairs accessed: 4936
65: stonewalling pairs accessed: 6585
105: stonewalling pairs accessed: 6567
15: stonewalling pairs accessed: 6591
161: stonewalling pairs accessed: 6572
185: stonewalling pairs accessed: 6518
191: stonewalling pairs accessed: 6669
141: stonewalling pairs accessed: 6563
47: stonewalling pairs accessed: 6130
192: stonewalling pairs accessed: 5676
184: stonewalling pairs accessed: 5370
