IOR-3.3.0+dev: MPI Coordinated Test of Parallel I/O
Began               : Wed Jul  1 23:59:11 2020
Command line        : /IO500/bin/ior -w -a POSIX -t 2m -v -b 9920000m -F -i 1 -C -Q 1 -g -G 27 -k -e -o /mnt/cephfs/datafiles/2020.07.01-23.00.23-scr/ior_easy/ior_file_easy -O stoneWallingStatusFile=/mnt/cephfs/datafiles/2020.07.01-23.00.23-scr/ior_easy/stonewall -O stoneWallingWearOut=1 -D 300
Machine             : Linux sr650-1
Start time skew across all tasks: 321.19 sec
TestID              : 0
StartTime           : Wed Jul  1 23:59:11 2020
Path                : /mnt/cephfs/datafiles/2020.07.01-23.00.23-scr/ior_easy
FS                  : 32.8 TiB   Used FS: 3.3%   Inodes: 0.3 Mi   Used Inodes: 100.0%
Participating tasks: 200
Using reorderTasks '-C' (useful to avoid read cache in client)

Options: 
api                 : POSIX
apiVersion          : 
test filename       : /mnt/cephfs/datafiles/2020.07.01-23.00.23-scr/ior_easy/ior_file_easy
access              : file-per-process
type                : independent
segments            : 1
ordering in a file  : sequential
ordering inter file : constant task offset
task offset         : 1
nodes               : 10
tasks               : 200
clients per node    : 20
repetitions         : 1
xfersize            : 2 MiB
blocksize           : 9.46 TiB
aggregate filesize  : 1892.09 TiB
stonewallingTime    : 300
stoneWallingWearOut : 1

Results: 

access    bw(MiB/s)  IOPS       Latency(s)  block(KiB) xfer(KiB)  open(s)    wr/rd(s)   close(s)   total(s)   iter
------    ---------  ----       ----------  ---------- ---------  --------   --------   --------   --------   ----
Commencing write performance test: Wed Jul  1 23:59:11 2020
66: stonewalling pairs accessed: 7957
56: stonewalling pairs accessed: 7969
96: stonewalling pairs accessed: 7924
156: stonewalling pairs accessed: 7915
46: stonewalling pairs accessed: 7941
127: stonewalling pairs accessed: 9399
81: stonewalling pairs accessed: 9238
134: stonewalling pairs accessed: 8801
44: stonewalling pairs accessed: 8796
1: stonewalling pairs accessed: 9196
194: stonewalling pairs accessed: 8748
186: stonewalling pairs accessed: 7904
174: stonewalling pairs accessed: 8731
54: stonewalling pairs accessed: 8729
102: stonewalling pairs accessed: 15223
82: stonewalling pairs accessed: 15244
112: stonewalling pairs accessed: 15173
142: stonewalling pairs accessed: 15179
133: stonewalling pairs accessed: 9305
173: stonewalling pairs accessed: 9279
83: stonewalling pairs accessed: 9298
113: stonewalling pairs accessed: 9302
11: stonewalling pairs accessed: 9244
86: stonewalling pairs accessed: 7952
126: stonewalling pairs accessed: 7915
65: stonewalling pairs accessed: 8118
45: stonewalling pairs accessed: 8111
55: stonewalling pairs accessed: 8051
115: stonewalling pairs accessed: 8067
145: stonewalling pairs accessed: 8123
157: stonewalling pairs accessed: 9346
187: stonewalling pairs accessed: 9353
72: stonewalling pairs accessed: 15169
147: stonewalling pairs accessed: 9385
117: stonewalling pairs accessed: 9405
87: stonewalling pairs accessed: 9360
160: stonewalling pairs accessed: 14981
0: stonewalling pairs accessed: 14991
80: stonewalling pairs accessed: 15014
110: stonewalling pairs accessed: 15022
94: stonewalling pairs accessed: 8789
124: stonewalling pairs accessed: 8805
119: stonewalling pairs accessed: 8058
68: stonewalling pairs accessed: 7822
138: stonewalling pairs accessed: 7842
118: stonewalling pairs accessed: 7838
8: stonewalling pairs accessed: 7800
128: stonewalling pairs accessed: 7848
108: stonewalling pairs accessed: 7836
85: stonewalling pairs accessed: 8101
188: stonewalling pairs accessed: 7785
109: stonewalling pairs accessed: 8046
48: stonewalling pairs accessed: 7766
185: stonewalling pairs accessed: 8086
179: stonewalling pairs accessed: 7994
58: stonewalling pairs accessed: 7837
129: stonewalling pairs accessed: 8052
155: stonewalling pairs accessed: 8066
12: stonewalling pairs accessed: 15237
43: stonewalling pairs accessed: 9279
172: stonewalling pairs accessed: 15148
52: stonewalling pairs accessed: 15178
42: stonewalling pairs accessed: 15225
3: stonewalling pairs accessed: 9281
62: stonewalling pairs accessed: 15218
162: stonewalling pairs accessed: 15221
41: stonewalling pairs accessed: 9247
121: stonewalling pairs accessed: 9241
141: stonewalling pairs accessed: 9161
71: stonewalling pairs accessed: 9233
21: stonewalling pairs accessed: 9158
101: stonewalling pairs accessed: 9232
166: stonewalling pairs accessed: 7971
196: stonewalling pairs accessed: 7971
9: stonewalling pairs accessed: 8023
99: stonewalling pairs accessed: 8049
59: stonewalling pairs accessed: 8051
6: stonewalling pairs accessed: 7900
26: stonewalling pairs accessed: 7958
76: stonewalling pairs accessed: 7925
106: stonewalling pairs accessed: 7882
176: stonewalling pairs accessed: 7884
197: stonewalling pairs accessed: 9340
67: stonewalling pairs accessed: 9351
177: stonewalling pairs accessed: 9349
97: stonewalling pairs accessed: 9397
107: stonewalling pairs accessed: 9386
77: stonewalling pairs accessed: 9364
140: stonewalling pairs accessed: 14931
90: stonewalling pairs accessed: 14957
40: stonewalling pairs accessed: 14942
120: stonewalling pairs accessed: 15026
170: stonewalling pairs accessed: 14949
20: stonewalling pairs accessed: 15016
50: stonewalling pairs accessed: 15016
91: stonewalling pairs accessed: 9175
31: stonewalling pairs accessed: 9168
161: stonewalling pairs accessed: 9236
14: stonewalling pairs accessed: 8754
131: stonewalling pairs accessed: 9232
104: stonewalling pairs accessed: 8750
24: stonewalling pairs accessed: 8785
84: stonewalling pairs accessed: 8795
34: stonewalling pairs accessed: 8772
114: stonewalling pairs accessed: 8805
88: stonewalling pairs accessed: 7844
18: stonewalling pairs accessed: 7775
148: stonewalling pairs accessed: 7837
158: stonewalling pairs accessed: 7808
35: stonewalling pairs accessed: 8107
15: stonewalling pairs accessed: 8062
178: stonewalling pairs accessed: 7779
198: stonewalling pairs accessed: 7795
98: stonewalling pairs accessed: 7842
195: stonewalling pairs accessed: 8054
93: stonewalling pairs accessed: 9306
163: stonewalling pairs accessed: 9306
13: stonewalling pairs accessed: 9306
143: stonewalling pairs accessed: 9301
103: stonewalling pairs accessed: 9314
183: stonewalling pairs accessed: 9293
30: stonewalling pairs accessed: 14942
171: stonewalling pairs accessed: 9178
74: stonewalling pairs accessed: 8752
144: stonewalling pairs accessed: 8806
2: stonewalling pairs accessed: 15167
27: stonewalling pairs accessed: 9403
132: stonewalling pairs accessed: 15242
7: stonewalling pairs accessed: 9354
60: stonewalling pairs accessed: 14968
190: stonewalling pairs accessed: 14971
164: stonewalling pairs accessed: 8731
184: stonewalling pairs accessed: 8806
49: stonewalling pairs accessed: 7989
149: stonewalling pairs accessed: 8049
89: stonewalling pairs accessed: 7992
79: stonewalling pairs accessed: 8044
192: stonewalling pairs accessed: 15168
63: stonewalling pairs accessed: 9307
193: stonewalling pairs accessed: 9259
167: stonewalling pairs accessed: 9334
33: stonewalling pairs accessed: 9306
